[12-Aug-2013 09:40:12 UTC] PHP Fatal error:  Call to undefined function __sleep() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\plugins\ExhibitBuilder\views\public\exhibits\summary.php on line 28
[12-Aug-2013 09:41:11 UTC] PHP Fatal error:  Call to undefined function __sleep() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\plugins\ExhibitBuilder\views\public\exhibits\summary.php on line 28
[12-Aug-2013 09:49:46 UTC] PHP Warning:  simplexml_load_string(): Entity: line 1: parser error : Start tag expected, '&lt;' not found in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\libraries\Zend\Json.php on line 340
[12-Aug-2013 09:49:46 UTC] PHP Warning:  simplexml_load_string(): http://localhost/natural_europe_new/jsonplayer?verb=GetJson&amp;identifier=scorm:loc in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\libraries\Zend\Json.php on line 340
[12-Aug-2013 09:49:46 UTC] PHP Warning:  simplexml_load_string(): ^ in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\libraries\Zend\Json.php on line 340
[12-Aug-2013 10:28:52 UTC] PHP Fatal error:  Cannot break/continue 1 level in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\plugins\ExhibitBuilder\views\public\exhibits\summary.php on line 18
[12-Aug-2013 10:31:16 UTC] PHP Fatal error:  Cannot break/continue 1 level in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\plugins\ExhibitBuilder\views\public\exhibits\summary.php on line 21
[12-Aug-2013 10:32:47 UTC] PHP Fatal error:  Cannot break/continue 1 level in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\plugins\ExhibitBuilder\views\public\exhibits\summary.php on line 22
[12-Aug-2013 10:35:35 UTC] PHP Fatal error:  Cannot break/continue 1 level in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\plugins\ExhibitBuilder\views\public\exhibits\summary.php on line 25
[12-Aug-2013 10:36:52 UTC] PHP Fatal error:  Cannot break/continue 1 level in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\plugins\ExhibitBuilder\views\public\exhibits\summary.php on line 18
[21-Aug-2013 08:20:20 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2004
[21-Aug-2013 08:20:20 UTC] PHP Warning:  array_multisort(): Argument #1 is expected to be an array or a sort flag in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2010
[21-Aug-2013 08:20:20 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:20:20 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:20:20 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:20:20 UTC] PHP Fatal error:  Maximum function nesting level of '200' reached, aborting! in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2090
[21-Aug-2013 08:22:34 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2004
[21-Aug-2013 08:22:34 UTC] PHP Warning:  array_multisort(): Argument #1 is expected to be an array or a sort flag in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2010
[21-Aug-2013 08:22:34 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:22:34 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:22:34 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
